gen,popSize,B,B_01,B_099
100,12378,8.80723,8.47411,2.38973
200,12378,13.3753,12.8674,4.10913
300,12378,16.6233,15.9912,5.19929
400,12378,18.1472,17.4456,5.77912
500,12378,18.8676,18.0829,6.29892
600,12378,19.8383,18.9954,6.00916
700,12378,19.838,18.986,5.98906
800,12378,20.0598,19.1229,6.47938
900,12378,21.4358,20.4694,7.28876
1000,12378,21.9942,21.0584,7.19895
1100,12378,21.5063,20.5471,7.17872
1200,12378,20.7195,19.6965,7.02938
1300,12378,20.7137,19.6733,6.54914
1400,12378,21.654,20.6153,7.34912
1500,12378,21.3392,20.2829,7.12922
1600,12378,20.6836,19.6041,6.53929
1700,12378,21.2028,20.0758,7.00926
1800,12378,21.1765,20.0293,6.58899
1900,12378,20.6255,19.5072,6.54903
2000,12378,21.137,20.0519,7.13894
2100,12378,20.359,19.2416,7.0586
2200,12378,20.8445,19.7595,6.75884
2300,12378,21.8363,20.7313,7.54856
2400,12378,21.5017,20.3719,7.409
2500,12378,21.8588,20.6895,7.38873
2600,12378,20.9446,19.8192,7.21865
2700,12378,21.4328,20.2807,7.44891
2800,12378,21.7338,20.5811,7.45917
2900,12378,22.3219,21.183,7.87917
3000,12378,22.0735,20.8592,7.39897
3100,12378,21.2346,20.061,7.26908
3200,12378,21.3715,20.2029,7.22853
3300,12378,20.4466,19.2549,6.49791
3400,12378,20.823,19.6838,6.96893
3500,12378,21.1945,20.0506,7.14911
3600,12378,20.8888,19.7327,6.77914
3700,12378,20.9197,19.7563,6.79874
3800,12378,21.7011,20.4783,7.14883
3900,12378,20.6692,19.491,6.65936
4000,12378,20.4321,19.2072,6.55876
4100,12378,20.9924,19.8361,7.03897
4200,12378,21.2339,20.0469,6.86866
4300,12378,20.7678,19.512,6.74904
4400,12378,22.3993,21.2047,7.63903
4500,12378,21.9389,20.7171,7.33913
4600,12378,20.8367,19.6935,6.32893
4700,12378,21.0458,19.8754,6.68904
4800,12378,21.8494,20.6872,7.278
4900,12378,21.4991,20.3563,6.83902
5000,12378,21.6802,20.5167,6.78909
5100,12378,21.5647,20.4,6.96857
5200,12378,22.3133,21.2013,7.52843
5300,12378,22.0129,20.8755,7.53839
5400,12378,20.7326,19.5995,6.86882
5500,12378,21.4237,20.2827,6.74889
5600,12378,21.4199,20.2213,6.88832
5700,12378,21.6098,20.4193,6.70867
5800,12378,21.5205,20.3583,6.6988
5900,12378,22.0289,20.8445,6.9192
6000,12378,21.2249,20.0547,6.98865
6100,12378,22.419,21.2285,7.43921
6200,12378,20.8457,19.6725,6.93891
6300,12378,21.4807,20.2742,7.03887
6400,12378,21.7265,20.5506,6.909
6500,12378,22.146,20.9085,7.29915
6600,12378,21.6315,20.4583,7.13904
6700,12378,21.6183,20.4429,7.47924
6800,12378,21.4274,20.2064,7.139
6900,12378,21.2559,20.0677,7.01904
7000,12378,20.9005,19.6911,7.18889
7100,12378,20.9528,19.7229,7.16854
7200,12378,21.1518,19.8876,6.81853
7300,12378,21.7847,20.5398,6.42952
7400,12378,21.2779,20.028,6.41915
7500,12378,21.0915,19.852,6.379
7600,12378,21.3352,20.0678,6.55909
7700,12378,21.7522,20.4833,6.89925
7800,12378,21.9071,20.6291,6.95862
7900,12378,20.7899,19.5325,6.52854
8000,12378,21.578,20.3143,7.23849
8100,12378,21.9535,20.6914,7.34856
8200,12378,21.0448,19.782,6.54868
8300,12378,21.5549,20.3121,6.67921
8400,12378,21.8239,20.6146,7.43884
8500,12378,21.6476,20.3535,7.49863
8600,12378,21.2027,19.901,6.59891
8700,12378,21.715,20.4607,7.08903
8800,12378,21.563,20.3137,6.79933
8900,12378,22.095,20.7977,7.28901
9000,12378,21.6921,20.4608,7.15912
9100,12378,21.6434,20.4575,6.90899
9200,12378,21.1843,19.9807,6.85901
9300,12378,21.2148,20.0115,6.89925
9400,12378,21.8199,20.5898,7.22878
9500,12378,21.9815,20.8144,7.5087
9600,12378,20.9061,19.7481,6.75908
9700,12378,20.9665,19.8087,7.10883
9800,12378,21.4858,20.2442,7.02877
9900,12378,21.0405,19.846,6.6286
10000,1048,20.877,19.7018,6.80878
10100,1048,13.0432,11.942,3.03975
10200,1048,10.3223,9.29145,2.30951
10300,13625,10.7252,9.66324,2.70942
10400,13625,14.9156,13.8659,4.53919
10500,13625,17.1143,16.0433,4.98894
10600,13625,19.5064,18.467,5.79935
10700,13625,21.4538,20.3648,6.71898
10800,13625,21.2109,20.0646,7.07869
10900,13625,21.5956,20.4475,7.00887
11000,13625,22.1723,21.0908,7.29882
11100,13625,21.6078,20.4755,6.86919
11200,13625,22.0912,20.9743,7.42863
11300,13625,22.3895,21.2895,7.6989
11400,13625,23.065,21.9398,8.23908
11500,13625,22.0131,20.899,7.09916
11600,13625,22.6468,21.4778,7.58924
11700,13625,22.5989,21.4589,7.30911
11800,13625,22.4507,21.2937,7.30894
11900,13625,23.0876,21.9155,7.66857
12000,14502,22.4531,21.277,6.85909
12100,31638,22.5855,21.3726,7.43865
12200,69022,23.7558,22.5608,8.24905
12300,150577,27.146,25.9454,9.73824
12400,328498,29.6518,28.4469,11.1583
12489,657719,32.0945,30.8288,12.2481
